2026-04-14 18:57:40 INFO  utils.Log - Test Started1
2026-04-14 18:57:41 INFO  utils.Log - Test Started2
2026-04-14 18:57:41 INFO  utils.Log - Test Started3
2026-04-14 18:57:41 INFO  utils.Log - Test Started4
2026-04-14 19:22:06 INFO  utils.Log - Test scenario with validateLoginWithPositiveScenario
2026-04-14 19:22:06 INFO  utils.Log - Login with username %s and password %s
2026-04-14 19:22:08 INFO  utils.Log - Home Page text is %s
2026-04-14 19:24:17 INFO  utils.Log - Test scenario with validateLoginWithPositiveScenario
2026-04-14 19:24:17 INFO  utils.Log - Login with username and password student, Password123
2026-04-14 19:24:19 INFO  utils.Log - Home Page text isLogged In Successfully
2026-04-14 19:40:15 INFO  utils.Log - Test Name:validateLoginWithInvalid
2026-04-14 19:40:17 INFO  utils.Log - Test Success: validateLoginWithInvalid
2026-04-14 19:40:20 INFO  utils.Log - Test Name:validateLoginWithPositiveScenario
2026-04-14 19:40:20 INFO  utils.Log - Test scenario with validateLoginWithPositiveScenario
2026-04-14 19:40:20 INFO  utils.Log - Login with username and password student, Password123
2026-04-14 19:40:21 INFO  utils.Log - Home Page text isLogged In Successfully
2026-04-14 19:40:21 INFO  utils.Log - Test Success: validateLoginWithPositiveScenario
2026-04-14 19:41:26 INFO  utils.Log - Test Name:validateLoginWithInvalid
2026-04-14 19:41:28 INFO  utils.Log - Test Failure: validateLoginWithInvalid
2026-04-14 19:41:31 INFO  utils.Log - Test Name:validateLoginWithPositiveScenario
2026-04-14 19:41:31 INFO  utils.Log - Test scenario with validateLoginWithPositiveScenario
2026-04-14 19:41:31 INFO  utils.Log - Login with username and password student, Password123
2026-04-14 19:41:33 INFO  utils.Log - Home Page text isLogged In Successfully
2026-04-14 19:41:33 INFO  utils.Log - Test Success: validateLoginWithPositiveScenario
2026-04-15 19:04:01 INFO  utils.Log - Test Name:validateLoginWithInvalid
2026-04-15 19:04:03 INFO  utils.Log - Test Failure: validateLoginWithInvalid
2026-04-15 19:04:07 INFO  utils.Log - Test Name:validateLoginWithPositiveScenario
2026-04-15 19:04:07 INFO  utils.Log - Test scenario with validateLoginWithPositiveScenario
2026-04-15 19:04:07 INFO  utils.Log - Login with username and password student, Password123
2026-04-15 19:04:09 INFO  utils.Log - Home Page text isLogged In Successfully
2026-04-15 19:04:09 INFO  utils.Log - Test Success: validateLoginWithPositiveScenario
2026-04-15 19:05:43 INFO  utils.Log - Test Name:validateLoginWithInvalid
2026-04-15 19:05:45 INFO  utils.Log - Test Failure: validateLoginWithInvalid
2026-04-15 19:05:49 INFO  utils.Log - Test Name:validateLoginWithPositiveScenario
2026-04-15 19:05:49 INFO  utils.Log - Test scenario with validateLoginWithPositiveScenario
2026-04-15 19:05:49 INFO  utils.Log - Login with username and password student, Password123
2026-04-15 19:05:51 INFO  utils.Log - Home Page text isLogged In Successfully
2026-04-15 19:05:51 INFO  utils.Log - Test Success: validateLoginWithPositiveScenario
2026-04-15 19:06:54 INFO  utils.Log - Test Name:validateLoginWithInvalid
2026-04-15 19:06:56 INFO  utils.Log - Test Failure: validateLoginWithInvalid
2026-04-15 19:07:00 INFO  utils.Log - Test Name:validateLoginWithPositiveScenario
2026-04-15 19:07:00 INFO  utils.Log - Test scenario with validateLoginWithPositiveScenario
2026-04-15 19:07:00 INFO  utils.Log - Login with username and password student, Password123
2026-04-15 19:07:02 INFO  utils.Log - Home Page text isLogged In Successfully
2026-04-15 19:07:02 INFO  utils.Log - Test Success: validateLoginWithPositiveScenario
2026-04-15 19:10:44 INFO  utils.Log - Test Name:validateLoginWithInvalid
2026-04-15 19:10:51 INFO  utils.Log - Test Name:validateLoginWithInvalid
2026-04-15 19:10:57 INFO  utils.Log - Test Name:validateLoginWithInvalid
2026-04-15 19:10:59 INFO  utils.Log - Test Failure: validateLoginWithInvalid
2026-04-15 19:11:04 INFO  utils.Log - Test Name:validateLoginWithPositiveScenario
2026-04-15 19:11:04 INFO  utils.Log - Test scenario with validateLoginWithPositiveScenario
